userid,tagid,tagname
40770955,90068,Budget
40770955,90092,Reserved 92
40770955,90072,Christmas
40821275,90043,Reserved 43
40821275,90086,Reserved 86
40821275,90083,Reserved 83
41541414,90070,Winter
41541414,90094,Reserved 94
41541414,90090,Reserved 90
41541414,90057,Month7
42141578,90043,Reserved 43
42141578,90093,Reserved 93
42141578,90027,Week27
42699121,90006,Week6
42699121,90034,Week34
42699121,90016,Week16
43628549,90051,Month1
43628549,90031,Week31
43628549,90068,Budget
43628549,90012,Week12
43674083,90030,Week30
43674083,90014,Week14
43674083,90068,Budget
43674083,90067,Single Parent
43842134,90013,Week13
43842134,90014,Week14
43842134,90026,Week26
43842134,90068,Budget
44030410,90008,Week8
44030410,90076,Reserved 76
44030410,90015,Week15
44030410,90044,Reserved 44
44584724,90090,Reserved 90
44584724,90031,Week31
44584724,90057,Month7
44764382,90008,Week8
44764382,90094,Reserved 94
44764382,90100,Reserved 100
44984663,90018,Week18
44984663,90007,Week7
44984663,90025,Week25
45014769,90012,Week12
45014769,90093,Reserved 93
45014769,90077,Reserved 77
45841666,90097,Reserved 97
45841666,90006,Week6
45841666,90016,Week16
45850889,90072,Christmas
45850889,90086,Reserved 86
45850889,90089,Reserved 89
45850889,90063,Trimester 3
45986522,90021,Week21
45986522,90087,Reserved 87
45986522,90081,Reserved 81
45986522,90038,Week38
46114413,90013,Week13
46114413,90054,Month4
46114413,90068,Budget
46114413,90041,Week41
46388879,90090,Reserved 90
46388879,90028,Week28
46388879,90063,Trimester 3
46388879,90074,Reserved 74
46669329,90099,Reserved 99
46669329,90058,Month8
46669329,90059,Month9
46669329,90050,Reserved 50
46793777,90037,Week37
46793777,90074,Reserved 74
46793777,90009,Week9
46980891,90064,Year 1
46980891,90025,Week25
46980891,90051,Month1
46980891,90074,Reserved 74
47089661,90029,Week29
47089661,90029,Week29
47089661,90089,Reserved 89
47218656,90010,Week10
47218656,90084,Reserved 84
47218656,90062,Trimester 2
47218656,90050,Reserved 50
47580450,90066,Twins
47580450,90028,Week28
47580450,90052,Month2
47622472,90096,Reserved 96
47622472,90042,Week42
47622472,90088,Reserved 88
47716980,90086,Reserved 86
47716980,90021,Week21
47716980,90075,Reserved 75
48043609,90093,Reserved 93
48043609,90079,Reserved 79
48043609,90084,Reserved 84
48059174,90043,Reserved 43
48059174,90054,Month4
48059174,90037,Week37
48159509,90044,Reserved 44
48159509,90014,Week14
48159509,90085,Reserved 85
48431437,90030,Week30
48431437,90017,Week17
48431437,90028,Week28
48431437,90001,Week1
48664515,90096,Reserved 96
48664515,90088,Reserved 88
48664515,90068,Budget
48664515,90082,Reserved 82
49190562,90065,Year 2
49190562,90013,Week13
49190562,90004,Week4
49325119,90074,Reserved 74
49325119,90036,Week36
49325119,90065,Year 2
49325119,90024,Week24
49424066,90022,Week22
49424066,90063,Trimester 3
49424066,90049,Reserved 49
49424066,90036,Week36
49456047,90045,Reserved 45
49456047,90006,Week6
49456047,90100,Reserved 100
49456047,90005,Week5
49589532,90058,Month8
49589532,90070,Winter
49589532,90062,Trimester 2
50096803,90046,Reserved 46
50096803,90077,Reserved 77
50096803,90084,Reserved 84
50124444,90005,Week5
50124444,90094,Reserved 94
50124444,90077,Reserved 77
50124444,90011,Week11
50196117,90099,Reserved 99
50196117,90066,Twins
50196117,90071,Summer
50196117,90015,Week15
50289625,90085,Reserved 85
50289625,90026,Week26
50289625,90028,Week28
50415350,90047,Reserved 47
50415350,90020,Week20
50415350,90100,Reserved 100
50632015,90086,Reserved 86
50632015,90059,Month9
50632015,90087,Reserved 87
50632015,90098,Reserved 98
50948537,90014,Week14
50948537,90092,Reserved 92
50948537,90049,Reserved 49
50948537,90077,Reserved 77
51040595,90035,Week35
51040595,90030,Week30
51040595,90072,Christmas
51040595,90024,Week24
51149993,90008,Week8
51149993,90012,Week12
51149993,90053,Month3
51149993,90001,Week1
51608824,90026,Week26
51608824,90083,Reserved 83
51608824,90073,Halloween
51608824,90077,Reserved 77
51650545,90089,Reserved 89
51650545,90095,Reserved 95
51650545,90077,Reserved 77
52266414,90047,Reserved 47
52266414,90062,Trimester 2
52266414,90029,Week29
52266414,90006,Week6
52272437,90071,Summer
52272437,90049,Reserved 49
52272437,90068,Budget
52272437,90026,Week26
52298201,90005,Week5
52298201,90038,Week38
52298201,90045,Reserved 45
52587848,90006,Week6
52587848,90068,Budget
52587848,90061,Trimester 1
52587848,90078,Reserved 78
52642604,90050,Reserved 50
52642604,90037,Week37
52642604,90085,Reserved 85
52642604,90082,Reserved 82
52759090,90075,Reserved 75
52759090,90037,Week37
52759090,90012,Week12
52759090,90097,Reserved 97
52791818,90091,Reserved 91
52791818,90062,Trimester 2
52791818,90073,Halloween
52791818,90020,Week20
52814154,90060,Pregnancy Loss
52814154,90065,Year 2
52814154,90075,Reserved 75
52969002,90019,Week19
52969002,90007,Week7
52969002,90077,Reserved 77
53113332,90042,Week42
53113332,90043,Reserved 43
53113332,90069,Healthy Living
53113332,90020,Week20
53129317,90021,Week21
53129317,90018,Week18
53129317,90100,Reserved 100
53129317,90050,Reserved 50
53303126,90029,Week29
53303126,90085,Reserved 85
53303126,90086,Reserved 86
53303126,90092,Reserved 92
53315148,90068,Budget
53315148,90099,Reserved 99
53315148,90005,Week5
53625028,90093,Reserved 93
53625028,90090,Reserved 90
53625028,90062,Trimester 2
53955792,90087,Reserved 87
53955792,90067,Single Parent
53955792,90039,Week39
53968375,90081,Reserved 81
53968375,90061,Trimester 1
53968375,90054,Month4
54363801,90074,Reserved 74
54363801,90056,Month6
54363801,90005,Week5
54363801,90061,Trimester 1
54710402,90068,Budget
54710402,90043,Reserved 43
54710402,90059,Month9
54818284,90021,Week21
54818284,90013,Week13
54818284,90097,Reserved 97
54818284,90006,Week6
54838577,90005,Week5
54838577,90021,Week21
54838577,90048,Reserved 48
54838577,90094,Reserved 94
54955524,90054,Month4
54955524,90041,Week41
54955524,90070,Winter
54955524,90016,Week16
54973657,90050,Reserved 50
54973657,90048,Reserved 48
54973657,90035,Week35
54973657,90091,Reserved 91
55359822,90067,Single Parent
55359822,90061,Trimester 1
55359822,90076,Reserved 76
55359822,90037,Week37
55512472,90091,Reserved 91
55512472,90028,Week28
55512472,90021,Week21
55512472,90090,Reserved 90
55598809,90021,Week21
55598809,90047,Reserved 47
55598809,90072,Christmas
55598809,90095,Reserved 95
55632800,90078,Reserved 78
55632800,90010,Week10
55632800,90035,Week35
55632800,90059,Month9
55735018,90070,Winter
55735018,90083,Reserved 83
55735018,90095,Reserved 95
55735018,90005,Week5
55758530,90052,Month2
55758530,90061,Trimester 1
55758530,90007,Week7
55758530,90037,Week37
55779822,90048,Reserved 48
55779822,90098,Reserved 98
55779822,90049,Reserved 49
55779822,90048,Reserved 48
55899337,90075,Reserved 75
55899337,90070,Winter
55899337,90018,Week18
55899337,90045,Reserved 45
56047888,90087,Reserved 87
56047888,90067,Single Parent
56047888,90010,Week10
56342048,90065,Year 2
56342048,90065,Year 2
56342048,90047,Reserved 47
56342048,90009,Week9
56506602,90000,Pregnancy
56506602,90090,Reserved 90
56506602,90095,Reserved 95
56506602,90018,Week18
56887788,90054,Month4
56887788,90014,Week14
56887788,90025,Week25
56995180,90020,Week20
56995180,90078,Reserved 78
56995180,90096,Reserved 96
56995180,90062,Trimester 2
57010135,90070,Winter
57010135,90075,Reserved 75
57010135,90023,Week23
57010135,90076,Reserved 76
57126874,90011,Week11
57126874,90028,Week28
57126874,90072,Christmas
57561774,90051,Month1
57561774,90022,Week22
57561774,90097,Reserved 97
57561774,90018,Week18
57630338,90064,Year 1
57630338,90046,Reserved 46
57630338,90099,Reserved 99
57678438,90016,Week16
57678438,90069,Healthy Living
57678438,90061,Trimester 1
57695205,90004,Week4
57695205,90082,Reserved 82
57695205,90016,Week16
58053473,90026,Week26
58053473,90057,Month7
58053473,90004,Week4
58053473,90090,Reserved 90
58091115,90097,Reserved 97
58091115,90026,Week26
58091115,90034,Week34
58091115,90078,Reserved 78
58276658,90020,Week20
58276658,90029,Week29
58276658,90010,Week10
58336052,90057,Month7
58336052,90011,Week11
58336052,90051,Month1
58384234,90056,Month6
58384234,90031,Week31
58384234,90041,Week41
58384234,90052,Month2
58397625,90058,Month8
58397625,90020,Week20
58397625,90064,Year 1
58397625,90039,Week39
58456933,90076,Reserved 76
58456933,90068,Budget
58456933,90082,Reserved 82
58456933,90031,Week31
58461318,90053,Month3
58461318,90052,Month2
58461318,90083,Reserved 83
58461318,90016,Week16
58498953,90026,Week26
58498953,90001,Week1
58498953,90006,Week6
58704872,90064,Year 1
58704872,90078,Reserved 78
58704872,90077,Reserved 77
58786603,90044,Reserved 44
58786603,90020,Week20
58786603,90000,Pregnancy
58786603,90029,Week29
58824902,90099,Reserved 99
58824902,90062,Trimester 2
58824902,90026,Week26
58824902,90096,Reserved 96
58895062,90014,Week14
58895062,90080,Reserved 80
58895062,90053,Month3
58895062,90001,Week1
58929064,90067,Single Parent
58929064,90087,Reserved 87
58929064,90002,Week2
58929064,90067,Single Parent
59071379,90000,Pregnancy
59071379,90054,Month4
59071379,90088,Reserved 88
59401048,90091,Reserved 91
59401048,90075,Reserved 75
59401048,90030,Week30
59401048,90080,Reserved 80
59463327,90007,Week7
59463327,90020,Week20
59463327,90051,Month1
59548836,90084,Reserved 84
59548836,90061,Trimester 1
59548836,90008,Week8
59565303,90017,Week17
59565303,90060,Pregnancy Loss
59565303,90045,Reserved 45
59579872,90091,Reserved 91
59579872,90066,Twins
59579872,90025,Week25
59722901,90052,Month2
59722901,90088,Reserved 88
59722901,90098,Reserved 98
59755788,90052,Month2
59755788,90069,Healthy Living
59755788,90000,Pregnancy
59896938,90047,Reserved 47
59896938,90033,Week33
59896938,90049,Reserved 49
59896938,90056,Month6
60013310,90019,Week19
60013310,90050,Reserved 50
60013310,90024,Week24
60013310,90030,Week30
60140475,90003,Week3
60140475,90032,Week32
60140475,90086,Reserved 86
60140475,90035,Week35
60434052,90085,Reserved 85
60434052,90060,Pregnancy Loss
60434052,90001,Week1
60496945,90049,Reserved 49
60496945,90002,Week2
60496945,90032,Week32
60612131,90008,Week8
60612131,90055,Month5
60612131,90055,Month5
60612131,90042,Week42
60655959,90051,Month1
60655959,90026,Week26
60655959,90056,Month6
60655959,90047,Reserved 47
60734858,90015,Week15
60734858,90090,Reserved 90
60734858,90060,Pregnancy Loss
60823317,90017,Week17
60823317,90060,Pregnancy Loss
60823317,90074,Reserved 74
60890670,90018,Week18
60890670,90094,Reserved 94
60890670,90047,Reserved 47
60890670,90078,Reserved 78
60918524,90036,Week36
60918524,90070,Winter
60918524,90040,Week40
60918524,90078,Reserved 78
60980335,90007,Week7
60980335,90050,Reserved 50
60980335,90098,Reserved 98
60980335,90002,Week2
60999275,90024,Week24
60999275,90088,Reserved 88
60999275,90059,Month9
60999275,90056,Month6
61054160,90029,Week29
61054160,90024,Week24
61054160,90076,Reserved 76
61054160,90011,Week11
61144791,90067,Single Parent
61144791,90054,Month4
61144791,90065,Year 2
61144791,90010,Week10
61173036,90090,Reserved 90
61173036,90012,Week12
61173036,90100,Reserved 100
61173036,90052,Month2
61176645,90087,Reserved 87
61176645,90045,Reserved 45
61176645,90096,Reserved 96
61291508,90025,Week25
61291508,90031,Week31
61291508,90019,Week19
61595210,90007,Week7
61595210,90044,Reserved 44
61595210,90073,Halloween
61595210,90094,Reserved 94
61596202,90012,Week12
61596202,90044,Reserved 44
61596202,90025,Week25
61682654,90063,Trimester 3
61682654,90005,Week5
61682654,90027,Week27
61682654,90027,Week27
62241816,90089,Reserved 89
62241816,90091,Reserved 91
62241816,90058,Month8
62241816,90073,Halloween
62589181,90000,Pregnancy
62589181,90090,Reserved 90
62589181,90003,Week3
62604195,90027,Week27
62604195,90025,Week25
62604195,90039,Week39
62681029,90078,Reserved 78
62681029,90022,Week22
62681029,90072,Christmas
62681029,90081,Reserved 81
62787054,90098,Reserved 98
62787054,90075,Reserved 75
62787054,90006,Week6
62843800,90093,Reserved 93
62843800,90010,Week10
62843800,90046,Reserved 46
62843800,90083,Reserved 83
62890052,90075,Reserved 75
62890052,90029,Week29
62890052,90026,Week26
62922255,90093,Reserved 93
62922255,90054,Month4
62922255,90005,Week5
62957569,90091,Reserved 91
62957569,90035,Week35
62957569,90052,Month2
63009462,90052,Month2
63009462,90028,Week28
63009462,90059,Month9
63037351,90085,Reserved 85
63037351,90017,Week17
63037351,90083,Reserved 83
63037351,90020,Week20
63097593,90009,Week9
63097593,90098,Reserved 98
63097593,90054,Month4
63160462,90067,Single Parent
63160462,90017,Week17
63160462,90091,Reserved 91
63160462,90082,Reserved 82
63269060,90062,Trimester 2
63269060,90047,Reserved 47
63269060,90066,Twins
63269060,90090,Reserved 90
63548310,90029,Week29
63548310,90000,Pregnancy
63548310,90025,Week25
63548310,90050,Reserved 50
63561642,90076,Reserved 76
63561642,90082,Reserved 82
63561642,90089,Reserved 89
63579557,90010,Week10
63579557,90080,Reserved 80
63579557,90050,Reserved 50
63621974,90093,Reserved 93
63621974,90016,Week16
63621974,90011,Week11
63706942,90017,Week17
63706942,90038,Week38
63706942,90042,Week42
63706942,90066,Twins
63832133,90070,Winter
63832133,90029,Week29
63832133,90055,Month5
63868278,90027,Week27
63868278,90013,Week13
63868278,90006,Week6
64017493,90009,Week9
64017493,90094,Reserved 94
64017493,90069,Healthy Living
64017493,90054,Month4
64018292,90078,Reserved 78
64018292,90037,Week37
64018292,90007,Week7
64023015,90023,Week23
64023015,90071,Summer
64023015,90069,Healthy Living
64023015,90088,Reserved 88
64079327,90041,Week41
64079327,90076,Reserved 76
64079327,90004,Week4
64079327,90091,Reserved 91
64192644,90029,Week29
64192644,90052,Month2
64192644,90033,Week33
64241403,90010,Week10
64241403,90091,Reserved 91
64241403,90067,Single Parent
64244454,90024,Week24
64244454,90071,Summer
64244454,90063,Trimester 3
64288665,90058,Month8
64288665,90011,Week11
64288665,90021,Week21
64288665,90081,Reserved 81
64364312,90026,Week26
64364312,90053,Month3
64364312,90088,Reserved 88
64469545,90075,Reserved 75
64469545,90019,Week19
64469545,90054,Month4
64469545,90041,Week41
64657373,90044,Reserved 44
64657373,90017,Week17
64657373,90017,Week17
64657988,90026,Week26
64657988,90057,Month7
64657988,90025,Week25
64694916,90007,Week7
64694916,90002,Week2
64694916,90043,Reserved 43
64714964,90085,Reserved 85
64714964,90051,Month1
64714964,90080,Reserved 80
64720845,90027,Week27
64720845,90091,Reserved 91
64720845,90008,Week8
64792746,90085,Reserved 85
64792746,90057,Month7
64792746,90076,Reserved 76
64817919,90065,Year 2
64817919,90093,Reserved 93
64817919,90099,Reserved 99
64825003,90030,Week30
64825003,90071,Summer
64825003,90071,Summer
64825003,90051,Month1
65040093,90067,Single Parent
65040093,90020,Week20
65040093,90052,Month2
65040093,90044,Reserved 44
65365302,90052,Month2
65365302,90056,Month6
65365302,90023,Week23
65365302,90085,Reserved 85
65396713,90020,Week20
65396713,90002,Week2
65396713,90052,Month2
65496430,90075,Reserved 75
65496430,90089,Reserved 89
65496430,90001,Week1
65496430,90058,Month8
65577067,90083,Reserved 83
65577067,90026,Week26
65577067,90096,Reserved 96
65585192,90029,Week29
65585192,90000,Pregnancy
65585192,90084,Reserved 84
65651552,90044,Reserved 44
65651552,90038,Week38
65651552,90073,Halloween
65651552,90069,Healthy Living
65732640,90024,Week24
65732640,90039,Week39
65732640,90066,Twins
65791298,90097,Reserved 97
65791298,90028,Week28
65791298,90067,Single Parent
65791298,90009,Week9
65912279,90062,Trimester 2
65912279,90092,Reserved 92
65912279,90063,Trimester 3
65912279,90079,Reserved 79
65966920,90028,Week28
65966920,90029,Week29
65966920,90022,Week22
65966920,90099,Reserved 99
65982999,90033,Week33
65982999,90062,Trimester 2
65982999,90041,Week41
65982999,90069,Healthy Living
66324267,90036,Week36
66324267,90081,Reserved 81
66324267,90079,Reserved 79
66444295,90085,Reserved 85
66444295,90030,Week30
66444295,90085,Reserved 85
66862741,90053,Month3
66862741,90078,Reserved 78
66862741,90082,Reserved 82
67251319,90096,Reserved 96
67251319,90011,Week11
67251319,90066,Twins
67268548,90045,Reserved 45
67268548,90099,Reserved 99
67268548,90044,Reserved 44
67271870,90070,Winter
67271870,90099,Reserved 99
67271870,90080,Reserved 80
67271870,90082,Reserved 82
67340566,90018,Week18
67340566,90015,Week15
67340566,90087,Reserved 87
67340566,90047,Reserved 47
67373453,90095,Reserved 95
67373453,90046,Reserved 46
67373453,90083,Reserved 83
67451490,90067,Single Parent
67451490,90007,Week7
67451490,90083,Reserved 83
67510489,90099,Reserved 99
67510489,90078,Reserved 78
67510489,90045,Reserved 45
67575890,90033,Week33
67575890,90003,Week3
67575890,90017,Week17
67575890,90034,Week34
67596141,90054,Month4
67596141,90030,Week30
67596141,90076,Reserved 76
67596141,90073,Halloween
67604562,90012,Week12
67604562,90013,Week13
67604562,90080,Reserved 80
67616557,90030,Week30
67616557,90048,Reserved 48
67616557,90002,Week2
67616557,90021,Week21
67633434,90076,Reserved 76
67633434,90077,Reserved 77
67633434,90068,Budget
67633434,90085,Reserved 85
67674591,90048,Reserved 48
67674591,90044,Reserved 44
67674591,90050,Reserved 50
67674591,90017,Week17
67675075,90028,Week28
67675075,90019,Week19
67675075,90046,Reserved 46
67675075,90013,Week13
67850729,90043,Reserved 43
67850729,90032,Week32
67850729,90036,Week36
67890075,90093,Reserved 93
67890075,90028,Week28
67890075,90030,Week30
68031130,90022,Week22
68031130,90010,Week10
68031130,90044,Reserved 44
68052309,90095,Reserved 95
68052309,90084,Reserved 84
68052309,90022,Week22
68093404,90012,Week12
68093404,90051,Month1
68093404,90074,Reserved 74
68093404,90093,Reserved 93
68249985,90060,Pregnancy Loss
68249985,90062,Trimester 2
68249985,90056,Month6
68249985,90091,Reserved 91
68285114,90047,Reserved 47
68285114,90022,Week22
68285114,90070,Winter
68285114,90001,Week1
68288590,90064,Year 1
68288590,90033,Week33
68288590,90079,Reserved 79
68288590,90045,Reserved 45
68377144,90051,Month1
68377144,90061,Trimester 1
68377144,90013,Week13
68377144,90000,Pregnancy
68395849,90044,Reserved 44
68395849,90047,Reserved 47
68395849,90047,Reserved 47
68412067,90022,Week22
68412067,90007,Week7
68412067,90042,Week42
68412067,90067,Single Parent
68413783,90096,Reserved 96
68413783,90034,Week34
68413783,90055,Month5
68413783,90055,Month5
68424970,90042,Week42
68424970,90082,Reserved 82
68424970,90060,Pregnancy Loss
68443684,90090,Reserved 90
68443684,90000,Pregnancy
68443684,90034,Week34
68443684,90060,Pregnancy Loss
68496008,90022,Week22
68496008,90099,Reserved 99
68496008,90070,Winter
68496008,90004,Week4
68531151,90011,Week11
68531151,90074,Reserved 74
68531151,90001,Week1
68531151,90043,Reserved 43
68538021,90096,Reserved 96
68538021,90059,Month9
68538021,90015,Week15
68538021,90005,Week5
68547107,90029,Week29
68547107,90063,Trimester 3
68547107,90049,Reserved 49
68547107,90056,Month6
